AlbumId,Title,ArtistId
347,Koyaanisqatsi (Soundtrack from the Motion Picture),275
346,Mozart: Chamber Music,274
345,Monteverdi: L'Orfeo,273
344,Schubert: The Late String Quartets & String Quintet (3 CD's),272
343,Respighi:Pines of Rome,226
342,"Locatelli: Concertos for Violin, Strings and Continuo, Vol. 3",271
341,"Great Recordings of the Century - Shubert: Schwanengesang, 4 Lieder",270
340,Liszt - 12 Ã‰tudes D'Execution Transcendante,269
339,Great Recordings of the Century: Paganini's 24 Caprices,268
338,Nielsen: The Six Symphonies,267
